fid,SourceAgency,SourceDataset,SourceFeatureURL,FeatureType,ReachCode,Measure,ReachSMDate,AddressDate,Catchment,HU,OnNetwork,HydroAddressID,GNIS_NAME,GNIS_ID,SnapTolerance,SnapDistance,InSnapTolerance,QCTolerance,InQCTolerance,QCApproved,NHDPv2ReachCode,NHDPv2Measure,Latitude,Longitude,uri,SourceID,state,huc8,reachcode_nhdpv2
1645,NA,NA,NA,NA,17040103000277,14.41525,2020-01-23T13:14:30Z,2022-03-01T01:31:15Z,0,,1,563ba3d1-136e-4c46-8ab3-c048f8800812,Flat Creek,NA,250,233.88,1,250,1,1,17040103000277,0,43.40138889,-110.7813889,https://geoconnex.us/iow/demo/WY01712,WY01712,https://geoconnex.us/ref/states/56,https://geoconnex.us/ref/hu08/17040103,https://geoconnex.us/nhdplusv2/reachcode/17040103000277
1646,NA,NA,NA,NA,17040104003282,0,NA,NA,NA,NA,0,NA,SOUTH FORK SNAKE RIVER,NA,0,0,0,0,0,0,17040104003282,0,43.3328,-111.2017,https://geoconnex.us/iow/demo/ID00273,ID00273,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040104,https://geoconnex.us/nhdplusv2/reachcode/17040104003282
1647,NA,NA,NA,NA,17040202000206,99.60515185063458,2012-01-18T00:00:00Z,2022-03-01T01:31:16Z,0,,1,9aef9b8a-ea69-48de-be7e-7521c0ec3c73,Henrys Fork,NA,250,37.3949,1,250,1,1,17040202165780,0,44.5973,-111.3533,https://geoconnex.us/iow/demo/ID00008,ID00008,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040202,https://geoconnex.us/nhdplusv2/reachcode/17040202165780
1648,NA,NA,NA,NA,17040202164571,97.79951893184396,2012-01-18T00:00:00Z,2022-03-01T01:31:16Z,0,,1,9f4111b5-3ad7-4253-902d-770e40056e46,Henrys Fork,NA,250,38.4524,1,250,1,1,17040202165825,0,44.4189,-111.3964,https://geoconnex.us/iow/demo/ID00272,ID00272,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040202,https://geoconnex.us/nhdplusv2/reachcode/17040202165825
1649,NA,NA,NA,NA,17040203000151,99.70996060175413,2020-11-13T13:14:57Z,2022-03-01T01:31:17Z,0,,1,8ebf1846-3882-4c07-be24-a11063279d67,Henrys Fork,NA,250,57.9338,1,250,1,1,17040203000151,47.34482,44.0785,-111.4968,https://geoconnex.us/iow/demo/ID00178,ID00178,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040202,https://geoconnex.us/nhdplusv2/reachcode/17040203000151
1650,NA,NA,NA,NA,17040209249819,80.69900202137002,2012-01-19T00:00:00Z,2022-03-01T01:32:39Z,0,,1,b621da26-e77c-41dd-bfb3-15b327f2d918,Snake River,NA,250,132.94,1,250,1,1,17040206266866,0,42.7794,-112.8743,https://geoconnex.us/iow/demo/ID00274,ID00274,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040209,https://geoconnex.us/nhdplusv2/reachcode/17040206266866
1651,NA,NA,NA,NA,17040208000084,89.70625,2012-01-19T00:00:00Z,2022-03-01T01:32:39Z,0,,1,f1be69f6-4e6c-4968-9dc4-ab02e9ebc6d2,Hawkins Creek,NA,250,147.648,1,250,1,1,17040208143625,0,42.5107,-112.3321,https://geoconnex.us/iow/demo/ID00036,ID00036,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040208,https://geoconnex.us/nhdplusv2/reachcode/17040208143625
1652,NA,NA,NA,NA,17040209249827,5.57354075740181,2012-01-19T00:00:00Z,2022-03-01T01:32:29Z,0,,1,123892e1-ee86-448b-b382-8c6b9530ce4f,NA,NA,250,166.275,1,250,1,1,17040209000044,87.51909,42.6621,-113.4865,https://geoconnex.us/iow/demo/ID00275,ID00275,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040209,https://geoconnex.us/nhdplusv2/reachcode/17040209000044
1653,NA,NA,NA,NA,17040210000252,74.61762235742032,2012-01-19T00:00:00Z,2022-03-01T01:32:39Z,0,,1,c1f04705-c625-48b4-b954-d2e706e0419e,Sublett Creek,NA,250,60.0929,1,250,1,1,17040210005534,0,42.3249,-113.0467,https://geoconnex.us/iow/demo/ID00031,ID00031,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040210,https://geoconnex.us/nhdplusv2/reachcode/17040210005534
1654,NA,NA,NA,NA,17040212010717,91.2517815871537,2020-09-28T08:08:39Z,2022-03-01T01:32:37Z,0,,1,237e4e93-4952-4755-b031-014b4ec2254b,Snake River,NA,250,167.741,1,250,1,1,17040212000082,52.57462,42.8422,-114.905,https://geoconnex.us/iow/demo/ID00052,ID00052,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040212,https://geoconnex.us/nhdplusv2/reachcode/17040212000082
1655,NA,NA,NA,NA,17040219191910,90.27121924013382,2012-01-19T00:00:00Z,2022-03-01T01:32:40Z,0,,1,1cf12fb1-8613-4202-a0c3-809057f1ce6b,Big Wood River,NA,250,102.834,1,250,1,1,17040219194256,0,43.252372,-114.363925,https://geoconnex.us/iow/demo/ID00039,ID00039,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17040219,https://geoconnex.us/nhdplusv2/reachcode/17040219194256
1656,NA,NA,NA,NA,17050101152725,0,NA,NA,NA,NA,0,NA,Snake River,NA,0,0,0,0,0,0,17050101152725,0,42.9463,-115.9755,https://geoconnex.us/iow/demo/ID00054,ID00054,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17050101,https://geoconnex.us/nhdplusv2/reachcode/17050101152725
1657,NA,NA,NA,NA,17050102007921,98.30006475136628,2012-01-19T00:00:00Z,2022-03-01T01:32:42Z,0,,1,be4a4511-d8e9-4993-b6cd-a3410ff65acf,Bruneau River,NA,250,59.0712,1,250,1,1,17050102002506,0,41.58233,-115.4974,https://geoconnex.us/iow/demo/NV00038,NV00038,https://geoconnex.us/ref/states/32,https://geoconnex.us/ref/hu08/17050102,https://geoconnex.us/nhdplusv2/reachcode/17050102002506
1658,NA,NA,NA,NA,17050103005401,24.918625,2012-07-20T00:00:00Z,2022-03-01T01:32:30Z,0,,1,8cf0fc3f-aa23-48b8-b8fe-de1f10a8ec9c,NA,NA,250,66.1127,1,250,1,1,17050103002485,0,43.093,-116.5454,https://geoconnex.us/iow/demo/ID00372,ID00372,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17050103,https://geoconnex.us/nhdplusv2/reachcode/17050103002485
1659,NA,NA,NA,NA,17050104000262,99.67469807808604,2015-08-20T09:07:48Z,2022-03-01T01:32:40Z,0,,1,4bd62b41-2964-46ce-b113-6144560f2797,Shoofly Creek,NA,250,6.92962,1,250,1,1,17050104002641,0,42.2496,-116.2676,https://geoconnex.us/iow/demo/ID00195,ID00195,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17050104,https://geoconnex.us/nhdplusv2/reachcode/17050104002641
1660,NA,NA,NA,NA,17050104001564,99.43014818302055,2012-02-19T00:00:00Z,2022-03-01T01:32:40Z,0,,1,841286aa-5583-4441-8872-68d8ea13f769,NA,NA,250,31.1377,1,250,1,1,17050104002653,0,42.0562,-116.4601,https://geoconnex.us/iow/demo/ID00090,ID00090,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17050104,https://geoconnex.us/nhdplusv2/reachcode/17050104002653
1661,NA,NA,NA,NA,17050112099671,46.848894357835945,2012-01-21T00:00:00Z,2022-03-01T01:32:42Z,0,,1,72f879fb-72c2-4445-9ae2-74fa486276f9,Boise River,NA,250,54.71,1,250,1,1,17050112099681,0,43.5954,-115.9225,https://geoconnex.us/iow/demo/ID00280,ID00280,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17050112,https://geoconnex.us/nhdplusv2/reachcode/17050112099681
1662,NA,NA,NA,NA,17050120000298,98.29275315058608,2012-02-19T00:00:00Z,2022-03-01T01:32:41Z,0,,1,4300f53c-f142-4111-b32f-506c18848e55,Deadwood River,NA,250,7.49461,1,250,1,1,17050120106081,0,44.2937,-115.6459,https://geoconnex.us/iow/demo/ID00284,ID00284,https://geoconnex.us/ref/states/16,https://geoconnex.us/ref/hu08/17050120,https://geoconnex.us/nhdplusv2/reachcode/17050120106081
